target,eval_domain,method,method_label,n,positive_fraction,mean_prediction,prediction_to_observed_ratio,average_precision,roc_auc,brier,top_decile_rate,top_decile_lift
d_u,all,pf_expert,PF expert,23269,0.06132622802870772,0.11083981055557708,1.8073802044973533,0.1557465716991404,0.7448161020341861,0.05817196918281842,0.18306832831972497,2.9851555232457465
d_u,all,npf_expert,NPF expert,23269,0.06132622802870772,0.2687714798835549,4.382651412340882,0.12693085632475576,0.7419734595152919,0.12239743911915812,0.1422432316287065,2.319451826747282
d_u,all,dual_expert,Calib. dual,23269,0.06132622802870772,0.0742258910066437,1.210344959939448,0.1789315626578965,0.7846515655821349,0.05385522602797169,0.22260421143102707,3.629836997749523
d_u,all,dual_rank,Rank dual,23269,0.06132622802870772,0.06598531122819239,1.0759721142037904,0.14295708275584873,0.7497077340884881,0.05559748281814631,0.16065292096219932,2.6196445815482945
d_u,all,pooled_baseline,Pooled baseline,23269,0.06132622802870772,0.11269307917028158,1.837600041494942,0.17140106127582314,0.7734390715970152,0.059201717407130885,0.202836269875376,3.3074962604976346
d_u,all,dual_max,Dual max,23269,0.06132622802870772,0.2810717470369734,4.583222481992526,0.1276579673617124,0.7439784623813233,0.12465870834267728,0.14353244520842287,2.3404740487419704
d_u,all,dual_rank_raw,Rank dual raw,23269,0.06132622802870772,0.7542299447199858,12.298652125921059,0.14295708275584873,0.7497077340884881,0.5669579490099464,0.16065292096219932,2.6196445815482945
d_u,pf,pf_expert,PF expert,13017,0.04832142582776369,0.1172513724770044,2.4264882599891355,0.13475170215550644,0.7574562515753231,0.05119250335180977,0.141321044546851,2.9246041921563743
d_u,pf,npf_expert,NPF expert,13017,0.04832142582776369,0.3692258218882056,7.6410373982810365,0.08970298037537633,0.7017767591900054,0.17255596392081218,0.09831029185867896,2.034507264108782
d_u,pf,dual_expert,Calib. dual,13017,0.04832142582776369,0.09096676759457356,1.8825348390756185,0.14101811983880255,0.7763053942658493,0.04570083633012033,0.16589861751152074,3.43323100818357
d_u,pf,dual_rank,Rank dual,13017,0.04832142582776369,0.07320009022412473,1.5148578290102253,0.12198635456567064,0.753049068461042,0.045292606697202045,0.1228878648233487,2.5431340801359776
d_u,pf,pooled_baseline,Pooled baseline,13017,0.04832142582776369,0.15125183233302522,3.130119398217789,0.15212745384509552,0.7838978743981688,0.05893879717288493,0.1781874039938556,3.6875444161971678
d_u,pf,dual_max,Dual max,13017,0.04832142582776369,0.3713924857005256,7.685875971961433,0.09058205247769766,0.7047397784306367,0.17332897010137854,0.09907834101382489,2.050401852109632
d_u,pf,dual_rank_raw,Rank dual raw,13017,0.04832142582776369,0.8081453645361825,16.724369173557214,0.12198635456567064,0.753049068461042,0.6458037387990414,0.1228878648233487,2.5431340801359776
d_u,npf,pf_expert,PF expert,10252,0.0778384705423332,0.10269902811983579,1.3193865116347827,0.22540063133621482,0.7470240414872595,0.06703382118459754,0.2777777777777778,3.568643831801727
d_u,npf,npf_expert,NPF expert,10252,0.0778384705423332,0.14122425301323321,1.814324613899332,0.41524274558955154,0.8854368309179973,0.05871098600336306,0.442495126705653,5.684787016273628
d_u,npf,dual_expert,Calib. dual,10252,0.0778384705423332,0.052969941870369526,0.6805110827757248,0.40007382105149697,0.8508762651286562,0.0642088829433961,0.42787524366471735,5.496963656705116
d_u,npf,dual_rank,Rank dual,10252,0.0778384705423332,0.05682468128378627,0.7300333740869384,0.24361338218177903,0.7949804965131254,0.06868161981252123,0.293036750483559,3.764677651575748
d_u,npf,pooled_baseline,Pooled baseline,10252,0.0778384705423332,0.0637348963845389,0.818809721471545,0.3842560011984675,0.8471169991829585,0.05953554814154171,0.4064327485380117,5.221489396004632
