target,domain,feature,zone,zone_label,n_ale_bins,feature_min,feature_max,ale_start,ale_end,ale_min,ale_max,ale_range,model_preprocessing
d_u,npf,magt,npf_all,All NPF,16,-1.2591364614199847,3.6092061325907707,0.04863211856509022,-0.011310438077837028,-0.013892141290660638,0.04863211856509022,0.06252425985575086,median_imputation_no_pca
d_u,npf,magt,npf_interior,Interior,16,-0.24882706068456173,3.691717952489853,0.018293183507674057,-0.0021705367304952414,-0.00613522647303618,0.018293183507674057,0.024428409980710237,median_imputation_no_pca
d_u,npf,magt,npf_transition,Transition,16,-1.4933814592659473,2.38407813757658,0.027702182516602787,-0.028806938829115496,-0.028806938829115496,0.027702182516602787,0.05650912134571828,median_imputation_no_pca
d_u,pf,twi,pf_all,All PF,16,7.474562108516693,21.62080630660057,-0.002881252996887877,-0.023868380283832567,-0.023868380283832567,0.010335612503295125,0.03420399278712769,median_imputation_no_pca
d_u,pf,twi,pf_transition_impacted,Transition + lake/slump,16,7.711613655090332,21.861735820770264,-0.0010564545204626667,-0.02648336055893455,-0.02648336055893455,0.010250740029226234,0.03673410058816078,median_imputation_no_pca
d_u,pf,twi,pf_transition_background,Transition background,16,7.2243621200323105,19.210302144289017,-0.0002576388797541397,0.00020271800661056898,-0.0023660860758693346,0.004737644902675162,0.007103730978544496,median_imputation_no_pca
d_u,pf,twi,pf_interior_impacted,Interior + lake/slump,16,8.008873879909515,22.3237521648407,-0.009273588892099926,-0.023830840888719347,-0.023830840888719347,0.010169386065434084,0.03400022695415343,median_imputation_no_pca
d_u,pf,twi,pf_interior_background,Interior background,16,7.466427862644196,19.175303995609283,-0.0022769659532342404,-0.019788410003186277,-0.019788410003186277,0.0063717937430750075,0.026160203746261285,median_imputation_no_pca
d_u,pf,ndvi,pf_all,All PF,16,0.06009973678737879,0.6702166572213173,-0.013390201577446229,0.008009221044522645,-0.013902596050616315,0.019484888084890878,0.03338748413550719,median_imputation_no_pca
d_u,pf,ndvi,pf_transition_impacted,Transition + lake/slump,16,0.08487353846430779,0.7177785634994507,-0.013929094336927052,0.00041388985277978144,-0.013929094336927052,0.018743730083782398,0.03267282442070945,median_imputation_no_pca
d_u,pf,ndvi,pf_transition_background,Transition background,16,0.04686696967110038,0.7284764368087053,8.4660607370182e-05,-0.0007296320821640132,-0.0007980134884505177,0.001081365048554749,0.0018793785370052668,median_imputation_no_pca
d_u,pf,ndvi,pf_interior_impacted,Interior + lake/slump,16,0.08632607478648424,0.623892436735332,-0.013472644259959149,0.014342043935256595,-0.017231248781977532,0.03599548147043161,0.05322673025240915,median_imputation_no_pca
d_u,pf,ndvi,pf_interior_background,Interior background,16,0.05825488187838346,0.6411762610077858,-0.011061906961877765,0.008077935136054294,-0.011061906961877765,0.01177731480141746,0.022839221763295225,median_imputation_no_pca
grad_mag_km,npf,magt,npf_all,All NPF,16,-0.767618938582018,3.6168279498815536,0.03025932294912612,-0.008647641703592755,-0.010232405477878886,0.03025932294912612,0.040491728427005005,median_imputation_no_pca
grad_mag_km,npf,magt,npf_interior,Interior,16,-0.2556347977370024,3.695363223552704,0.01718935584788172,-0.0023155638100158978,-0.0032952245212671018,0.01718935584788172,0.02048458036914882,median_imputation_no_pca
