target,domain,family,family_label,component,component_label,importance,importance_std,n_features,features,baseline_average_precision,n_permutation_rows,n_repeats,scoring,cache_version,model_preprocessing,interpretation_model
d_u,pf,terrain_energy,Terrain and energy,contrast,Spatial contrast,0.0673234783824657,0.0105866836111894,4,dem__lstd;dem__gmag;slope__lstd;slope__gmag,0.2937572584533232,15000,15,average_precision,3,median_imputation_no_pca,extratrees
d_u,pf,terrain_energy,Terrain and energy,raw,Raw,0.0424008013113963,0.0076583631413885,4,dem;slope;difpr;dirpr,0.2937572584533232,15000,15,average_precision,3,median_imputation_no_pca,extratrees
d_u,pf,thermal,Thermal conditions,contrast,Spatial contrast,0.0029922341645353,0.0027552668105872,2,magt__lstd;magt__gmag,0.2937572584533232,15000,15,average_precision,3,median_imputation_no_pca,extratrees
d_u,pf,thermal,Thermal conditions,raw,Raw,0.0022910182631475,0.0045607901564174,2,magt;temperature_mean,0.2937572584533232,15000,15,average_precision,3,median_imputation_no_pca,extratrees
d_u,pf,vegetation_productivity,Vegetation and productivity,contrast,Spatial contrast,0.0124114423906764,0.0057608023666372,2,ndvi__lstd;ndvi__gmag,0.2937572584533232,15000,15,average_precision,3,median_imputation_no_pca,extratrees
d_u,pf,vegetation_productivity,Vegetation and productivity,raw,Raw,0.0740085918433959,0.0060518377065456,2,ndvi;gpp_mean,0.2937572584533232,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,combined,hydro_wetness,Hydrologic wetness,contrast,Spatial contrast,0.0061076109834589,0.0031956373174908,2,twi__lstd;twi__gmag,0.1589339660918167,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,combined,hydro_wetness,Hydrologic wetness,raw,Raw,0.0213458343677668,0.0042853612828974,2,precipitation_mean;twi,0.1589339660918167,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,combined,soil_substrate,Soil and substrate,contrast,Spatial contrast,0.0324359281813209,0.0048675315200855,8,bulk_density__lstd;bulk_density__gmag;cf__lstd;cf__gmag;soc__lstd;soc__gmag;soil_thickness__lstd;soil_thickness__gmag,0.1589339660918167,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,combined,soil_substrate,Soil and substrate,raw,Raw,0.0228036499712004,0.0053898295889817,4,bulk_density;cf;soc;soil_thickness,0.1589339660918167,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,combined,terrain_energy,Terrain and energy,contrast,Spatial contrast,0.0223633738675856,0.0058013027286839,4,dem__lstd;dem__gmag;slope__lstd;slope__gmag,0.1589339660918167,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,combined,terrain_energy,Terrain and energy,raw,Raw,0.0246931423379382,0.0035224148888888,4,dem;slope;difpr;dirpr,0.1589339660918167,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,combined,thermal,Thermal conditions,contrast,Spatial contrast,-0.0001949892354221,0.0035185296185743,2,magt__lstd;magt__gmag,0.1589339660918167,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,combined,thermal,Thermal conditions,raw,Raw,0.0708030458481505,0.0075641060742498,2,magt;temperature_mean,0.1589339660918167,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,combined,vegetation_productivity,Vegetation and productivity,contrast,Spatial contrast,0.0020606695263901,0.0033733488903779,2,ndvi__lstd;ndvi__gmag,0.1589339660918167,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,combined,vegetation_productivity,Vegetation and productivity,raw,Raw,0.0209076110436095,0.0060372629046517,2,ndvi;gpp_mean,0.1589339660918167,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,npf,hydro_wetness,Hydrologic wetness,contrast,Spatial contrast,0.0024531788969403,0.0017365124451119,2,twi__lstd;twi__gmag,0.2591323843607676,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,npf,hydro_wetness,Hydrologic wetness,raw,Raw,0.0147912530496118,0.0037823436648157,2,precipitation_mean;twi,0.2591323843607676,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,npf,soil_substrate,Soil and substrate,contrast,Spatial contrast,0.0060104779247541,0.0029835785105414,8,bulk_density__lstd;bulk_density__gmag;cf__lstd;cf__gmag;soc__lstd;soc__gmag;soil_thickness__lstd;soil_thickness__gmag,0.2591323843607676,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,npf,soil_substrate,Soil and substrate,raw,Raw,0.0258504382760106,0.0044960040385199,4,bulk_density;cf;soc;soil_thickness,0.2591323843607676,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,npf,terrain_energy,Terrain and energy,contrast,Spatial contrast,0.0297457664759672,0.0047911409424094,4,dem__lstd;dem__gmag;slope__lstd;slope__gmag,0.2591323843607676,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,npf,terrain_energy,Terrain and energy,raw,Raw,0.0359459814039572,0.0036331617869889,4,dem;slope;difpr;dirpr,0.2591323843607676,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,npf,thermal,Thermal conditions,contrast,Spatial contrast,0.0014679406657637,0.0024250594404522,2,magt__lstd;magt__gmag,0.2591323843607676,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,npf,thermal,Thermal conditions,raw,Raw,0.0925625927146845,0.0053220576955646,2,magt;temperature_mean,0.2591323843607676,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,npf,vegetation_productivity,Vegetation and productivity,contrast,Spatial contrast,8.202443972767185e-05,0.0030934647312004,2,ndvi__lstd;ndvi__gmag,0.2591323843607676,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,npf,vegetation_productivity,Vegetation and productivity,raw,Raw,0.0098764744695952,0.0021433583550617,2,ndvi;gpp_mean,0.2591323843607676,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,pf,hydro_wetness,Hydrologic wetness,contrast,Spatial contrast,0.0041539102152937,0.0012252985554631,2,twi__lstd;twi__gmag,0.111244652348149,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,pf,hydro_wetness,Hydrologic wetness,raw,Raw,0.0101144768791768,0.0015469731062426,2,precipitation_mean;twi,0.111244652348149,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,pf,soil_substrate,Soil and substrate,contrast,Spatial contrast,0.0296056536256375,0.0036324705915005,8,bulk_density__lstd;bulk_density__gmag;cf__lstd;cf__gmag;soc__lstd;soc__gmag;soil_thickness__lstd;soil_thickness__gmag,0.111244652348149,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,pf,soil_substrate,Soil and substrate,raw,Raw,0.0136973328375001,0.0023948542593575,4,bulk_density;cf;soc;soil_thickness,0.111244652348149,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,pf,terrain_energy,Terrain and energy,contrast,Spatial contrast,0.0039884925793137,0.0015085085403837,4,dem__lstd;dem__gmag;slope__lstd;slope__gmag,0.111244652348149,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,pf,terrain_energy,Terrain and energy,raw,Raw,0.0070491108720195,0.0011681737180651,4,dem;slope;difpr;dirpr,0.111244652348149,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,pf,thermal,Thermal conditions,contrast,Spatial contrast,0.0026653657992286,0.0010518598919492,2,magt__lstd;magt__gmag,0.111244652348149,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,pf,thermal,Thermal conditions,raw,Raw,-0.000576870951627,0.0014319292595905,2,magt;temperature_mean,0.111244652348149,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,pf,vegetation_productivity,Vegetation and productivity,contrast,Spatial contrast,0.0029887217765773,0.0016965563995841,2,ndvi__lstd;ndvi__gmag,0.111244652348149,15000,15,average_precision,3,median_imputation_no_pca,extratrees
grad_mag_km,pf,vegetation_productivity,Vegetation and productivity,raw,Raw,0.0089360492094308,0.0023205169651693,2,ndvi;gpp_mean,0.111244652348149,15000,15,average_precision,3,median_imputation_no_pca,extratrees
